pq_scan,pq_bar,pq_udise,pq_grade,pq_nasid,pq_section,pq_age,pq_min,pq_miny,pq_gender,pq_bpl,pq_cwsn,pq_q01,pq_q02,pq_q03,pq_q04,pq_q05,pq_q06,pq_q07,pq_q08,pq_q09,pq_q10,pq_q11,pq_q12,pq_q13,pq_q14,pq_q15,pq_q16,pq_q17,pq_q18,pq_q19,pq_q20,pq_q21,pq_q22,pq_q23,pq_q24a,pq_q24b,pq_q24c,pq_q24d,pq_q24e,pq_q24f,pq_q24g,pq_q24h,pq_q24i,pq_q25a,pq_q25b,pq_q25c,pq_q25d,pq_q25e,pq_q25f,pq_q25g,pq_q25h,pq_q25i,pq_q25j,pq_q26a,pq_q26b,pq_q26c,pq_q26d,pq_q26e,pq_q26f,pq_q26g,pq_q27a,pq_q27b,pq_q27c,pq_q27d,pq_q27e,pq_q27f,pq_q27g,pq_q28a,pq_q28b,pq_q28c,pq_q28d,pq_q28e,pq_q28f,pq_q28g,pq_q28h,pq_q29a,pq_q29b,pq_q29c,pq_q29d,pq_q29e,pq_q29f,pq_q29g,pq_q30,pq_q31,pq_q32,pq_q33,pq_q34,pq_q35,pq_q36,pq_q37,pq_q38,pq_q39,pq_q40
41000209,312040934,7040423507,3,14,B,8,1,1,2,X,2,7,7,8,8,3,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,X,X,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,X,X,X,X,X,X,X,2,2,2,X,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X
41000210,312040935,7040423507,3,15,B,7,1,1,2,2,2,6,6,7,7,3,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,X,X,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,X,X,X,X,X,X,X,2,2,2,X,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X
41000211,312040936,7040423507,3,16,D,8,1,1,2,2,2,6,6,7,7,3,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,2,2,1,1,1,1,2,1,1,2,1,1,2,X,X,1,X,X,X,X,X,X,2,2,1,2,2,1,2,X,X,X,X,X,X,X,1,1,1,1,X,2,1,1,2,2,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X
41000212,312040937,7040423507,3,17,C,7,2,X,2,2,2,2,6,7,7,3,1,4,4,2,3,2,2,2,1,1,3,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
41000213,312040938,7040423507,3,18,C,7,1,1,2,2,2,2,6,7,7,3,1,4,4,2,3,2,2,2,1,1,3,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
41000214,312040939,7040423507,3,19,D,7,1,1,2,2,2,2,6,7,7,3,1,4,4,2,3,2,2,2,1,1,3,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
41000215,312040940,7040423507,3,20,D,8,1,1,2,2,2,6,6,7,7,3,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,3,2,1,3,4,2,2,2,1,1
41000216,312040941,7040423507,3,21,D,7,1,1,2,2,2,2,6,7,7,3,1,4,4,2,3,2,2,2,1,1,3,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,3,4,2,2,2,1,4
41000252,112460072,7040322706,10,1,A,14,2,X,2,2,2,9,9,8,4,2,3,3,1,4,2,4,1,3,1,1,3,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,X,X,X,X,X,X,X,2,3,1,1,4,1,3,1,1,1,2
41000253,112460073,7040322706,10,2,A,15,2,X,2,2,2,0,0,5,5,2,3,3,1,2,2,4,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,2,X,X,X,X,X,X,X,2,1,1,1,4,1,2,1,1,1,2
41000254,112460074,7040322706,10,3,A,15,2,X,2,2,2,0,0,5,4,2,5,3,1,4,2,4,1,2,1,1,3,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,X,X,X,X,X,X,1,1,1,1,4,1,1,2,1,1,2
41000255,112460075,7040322706,10,4,A,15,2,X,2,2,2,9,9,3,3,2,3,3,1,5,2,2,2,3,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
41000256,112460076,7040322706,10,5,A,15,2,X,1,2,2,9,0,9,6,3,4,3,3,2,2,2,1,1,2,1,3,2,1,3,1,2,3,3,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,X,X,X,X,X,X,X,1,3,1,2,3,4,2,2,1,2,2
41000257,112460077,7040322706,10,6,A,15,2,X,1,2,2,0,0,9,5,2,4,3,1,2,2,1,1,4,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,4,1,1,1,1,1,2
41000258,112460078,7040322706,10,7,A,15,1,3,1,2,2,6,7,8,4,2,4,3,1,2,2,3,1,3,1,1,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,X,X,X,X,X,X,X,1,3,1,1,4,1,1,1,1,1,2
41000259,112460079,7040322706,10,8,A,14,1,1,2,2,2,9,8,9,4,2,1,3,1,2,2,3,1,4,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,X,X,X,X,X,X,X,1,3,1,1,1,1,1,1,1,1,3
41000260,112460080,7040322706,10,9,A,15,2,X,2,2,2,9,7,8,4,2,5,3,1,5,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,2,4,2,1,1,1,1
41000261,112460081,7040322706,10,10,A,15,1,3,1,X,X,0,9,9,4,2,3,3,1,2,2,2,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,4,1,1,1,1,1,1
41000262,112460082,7040322706,10,11,A,15,2,X,1,X,X,0,0,4,4,2,3,3,1,4,2,4,3,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,2,Z,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,X,X,X,X,X,X,X,1,3,1,1,3,4,2,2,1,1,2
41000263,112460083,7040322706,10,12,A,15,1,1,2,2,2,0,0,8,5,3,3,3,1,4,2,2,1,3,1,1,3,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,4,1,1,1,1,1,2
41000264,112460084,7040322706,10,13,A,14,2,X,2,2,2,0,0,8,6,2,4,3,1,4,2,1,2,2,1,1,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,3
41000265,112460085,7040322706,10,14,A,15,2,X,2,2,2,0,0,6,6,2,3,3,2,5,2,3,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,4,1,2,1,1,1,2
