pq_scan,pq_bar,pq_udise,pq_grade,pq_nasid,pq_section,pq_age,pq_min,pq_miny,pq_gender,pq_bpl,pq_cwsn,pq_q01,pq_q02,pq_q03,pq_q04,pq_q05,pq_q06,pq_q07,pq_q08,pq_q09,pq_q10,pq_q11,pq_q12,pq_q13,pq_q14,pq_q15,pq_q16,pq_q17,pq_q18,pq_q19,pq_q20,pq_q21,pq_q22,pq_q23,pq_q24a,pq_q24b,pq_q24c,pq_q24d,pq_q24e,pq_q24f,pq_q24g,pq_q24h,pq_q24i,pq_q25a,pq_q25b,pq_q25c,pq_q25d,pq_q25e,pq_q25f,pq_q25g,pq_q25h,pq_q25i,pq_q25j,pq_q26a,pq_q26b,pq_q26c,pq_q26d,pq_q26e,pq_q26f,pq_q26g,pq_q27a,pq_q27b,pq_q27c,pq_q27d,pq_q27e,pq_q27f,pq_q27g,pq_q28a,pq_q28b,pq_q28c,pq_q28d,pq_q28e,pq_q28f,pq_q28g,pq_q28h,pq_q29a,pq_q29b,pq_q29c,pq_q29d,pq_q29e,pq_q29f,pq_q29g,pq_q30,pq_q31,pq_q32,pq_q33,pq_q34,pq_q35,pq_q36,pq_q37,pq_q38,pq_q39,pq_q40
41002818,312243389,7040322502,3,29,A,8,X,X,2,2,2,5,1,3,8,2,4,3,3,2,2,2,1,1,1,1,3,2,1,1,2,1,2,1,X,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002819,312243390,7040322502,3,30,A,8,X,X,1,2,2,5,1,3,9,2,1,3,3,3,2,2,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002853,812431191,7040121911,8,1,A,15,2,X,1,1,2,5,7,9,3,3,1,1,1,2,2,1,1,4,1,1,3,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002854,812431192,7040121911,8,2,A,13,2,X,1,1,2,5,1,5,5,2,1,4,2,1,1,4,4,3,1,1,3,2,1,1,2,2,2,3,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002855,812431193,7040121911,8,3,A,13,2,X,1,1,2,4,5,9,1,3,1,3,1,2,2,1,1,2,1,1,2,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002856,812431194,7040121911,8,4,A,13,2,X,1,1,2,4,4,9,5,3,1,1,3,2,2,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,Z,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002857,812431195,7040121911,8,5,A,13,2,X,1,1,2,1,Z,Z,6,3,1,4,3,6,1,2,1,1,3,1,2,3,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002858,812431196,7040121911,8,6,A,12,1,1,1,1,2,3,0,4,2,2,1,1,3,6,2,3,1,2,1,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002859,812431197,7040121911,8,7,A,12,2,X,1,1,2,1,2,8,5,1,3,1,3,2,2,3,1,1,1,1,2,2,1,2,Z,3,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002860,812431198,7040121911,8,8,A,13,2,X,1,1,2,7,9,9,3,2,2,3,3,4,2,1,1,2,1,1,3,1,Z,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002861,812431199,7040121911,8,9,A,13,2,X,1,1,2,9,8,5,5,2,1,3,1,6,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,Z,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002862,812431200,7040121911,8,10,A,14,2,X,1,1,2,1,4,8,8,3,4,1,1,1,1,2,X,4,1,1,1,1,2,3,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002863,812431201,7040121911,8,11,A,14,2,X,1,1,2,1,2,8,3,3,1,2,2,6,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002864,812431202,7040121911,8,12,A,14,2,X,1,1,2,1,2,8,6,3,1,3,1,6,2,1,1,3,1,1,3,2,1,1,1,1,1,1,1,Z,1,1,1,1,1,1,1,1,Z,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002865,812431203,7040121911,8,13,A,14,1,1,1,1,2,4,4,3,3,3,3,3,3,1,2,1,1,1,1,1,3,1,2,3,3,3,2,3,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002866,812431204,7040121911,8,14,A,13,1,4,1,1,2,8,9,3,7,3,2,3,4,6,2,1,2,1,2,1,3,3,1,1,2,1,1,3,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002867,812431205,7040121911,8,15,A,13,2,X,1,1,2,3,5,9,6,4,1,3,1,6,3,1,4,1,2,2,3,1,1,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002868,812431206,7040121911,8,16,A,14,2,X,1,1,2,9,7,3,5,2,5,3,1,6,3,1,2,2,1,1,3,3,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,Z,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002869,812431207,7040121911,8,17,A,14,2,X,1,1,2,4,9,9,6,3,1,2,2,4,2,1,4,1,1,1,1,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002870,812431208,7040121911,8,18,A,12,1,1,1,1,2,3,9,9,5,3,3,2,3,4,2,1,1,2,1,1,3,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002871,812431209,7040121911,8,19,A,14,2,X,1,1,2,3,1,4,4,3,5,1,3,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002872,812431210,7040121911,8,20,A,13,1,1,1,1,2,1,2,2,3,4,1,1,4,4,2,3,1,3,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002873,812431211,7040121911,8,21,A,14,1,4,1,1,2,4,7,9,9,2,3,4,4,4,2,1,1,4,1,3,3,3,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002874,812431212,7040121911,8,22,A,13,2,X,1,1,2,1,6,9,4,3,1,1,3,6,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Z,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002875,812431213,7040121911,8,23,A,12,1,4,1,1,2,4,7,X,6,3,2,2,3,6,2,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002876,812431214,7040121911,8,24,A,13,2,X,1,1,2,3,5,9,4,3,2,1,3,1,1,2,1,1,2,1,3,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Z,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002877,812431215,7040121911,8,25,A,14,2,X,1,1,2,3,5,2,6,2,1,4,3,4,3,2,1,3,1,1,3,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002878,812431216,7040121911,8,26,A,13,2,X,1,1,2,9,5,9,3,2,1,2,1,2,3,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002879,812431217,7040121911,8,27,A,12,2,X,1,1,2,9,7,2,1,1,1,2,1,2,2,1,1,1,1,2,3,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002880,812431218,7040121911,8,28,A,13,2,X,1,1,2,5,5,9,2,1,1,2,3,6,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002881,812431219,7040121911,8,29,A,12,2,X,1,1,2,1,3,9,7,3,1,4,3,6,2,3,1,2,1,1,3,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002882,812431220,7040121911,8,30,A,14,2,X,1,1,2,1,1,3,3,2,1,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002888,112072386,7040123502,10,1,C,17,1,1,1,1,2,1,1,X,4,Z,2,3,1,6,3,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,1,1,1,1,1,1,1,1,1,1,1
41002889,112072387,7040123502,10,2,C,16,2,X,2,X,2,4,5,4,4,2,5,3,3,4,2,4,1,1,1,1,3,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,2,1,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,1,2,3,1,1,1,2
41002890,112072388,7040123502,10,3,C,13,2,X,2,2,2,6,3,7,5,4,1,2,1,3,2,Z,3,1,2,1,3,2,3,1,1,2,3,2,Z,1,2,2,1,1,2,2,1,Z,Z,Z,Z,1,1,1,1,Z,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,1,2,3,4,3,1,2,1,4
41002891,112072389,7040123502,10,4,C,15,2,X,2,2,2,5,6,2,1,3,1,3,1,6,3,2,4,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,1
41002892,112072390,7040123502,10,5,C,17,2,X,2,1,2,1,2,Z,X,4,1,4,4,5,1,2,2,2,2,1,2,1,1,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3
41002909,312040711,7040322510,3,1,A,13,1,1,2,2,1,5,5,9,2,4,5,4,3,5,2,2,3,3,2,2,2,3,1,2,2,2,3,2,1,2,1,1,1,2,2,X,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,X,X,X,X,X,X,X,X,X,X,X
41002910,312040712,7040322510,3,2,A,9,2,X,2,1,2,6,5,9,8,1,2,3,2,3,1,3,2,2,3,2,2,1,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Z,2,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002911,312040713,7040322510,3,3,A,9,2,X,2,2,2,5,4,9,4,2,2,2,3,2,2,4,1,1,2,3,3,1,2,1,1,3,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002912,312040714,7040322510,3,4,A,8,2,X,2,2,2,5,9,9,3,3,4,3,2,5,2,1,4,1,2,3,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002913,312040715,7040322510,3,5,A,9,2,X,2,1,2,3,9,9,5,2,2,2,2,5,2,2,3,3,3,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002914,312040716,7040322510,3,6,A,9,1,1,1,X,X,7,4,9,6,4,3,3,2,4,2,1,2,3,1,2,2,3,3,2,1,3,3,1,1,1,1,1,1,1,Z,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002915,312040717,7040322510,3,7,A,9,2,X,1,2,1,7,5,7,8,4,4,2,3,5,2,3,2,3,2,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,Z,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002916,312040718,7040322510,3,8,A,9,2,X,1,2,2,7,4,9,4,2,4,2,3,3,2,2,4,4,2,1,2,1,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,X,X,X,X,X,X,X,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002917,312040719,7040322510,3,9,A,12,1,1,1,2,1,6,5,9,4,4,2,3,3,3,2,4,3,4,1,2,3,2,1,2,2,3,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002918,312040720,7040322510,3,10,A,8,2,X,1,2,2,6,8,2,5,4,5,1,2,3,1,4,3,1,1,1,2,3,3,1,2,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002919,312040721,7040322510,3,11,A,12,2,X,1,2,1,7,6,5,4,3,3,1,2,5,2,2,3,1,2,3,1,1,2,2,Z,2,1,3,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,X,X,X,X,X,X,X,X,X,X,X
41002920,312040722,7040322510,3,12,A,10,2,X,1,2,2,9,5,4,6,3,5,2,3,3,1,3,4,1,2,3,3,2,2,2,3,1,3,1,1,1,1,1,1,Z,Z,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,Z,1,1,1,X,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002921,312040723,7040322510,3,13,A,9,2,X,2,2,2,6,7,3,6,2,3,2,2,5,2,4,2,4,2,2,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002922,312040724,7040322510,3,14,A,10,2,X,2,2,2,6,8,9,4,3,2,3,2,4,3,2,2,4,2,3,3,3,2,2,2,1,1,3,1,1,1,1,1,1,Z,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002923,312040725,7040322510,3,15,A,13,2,X,1,2,1,1,5,9,7,3,2,3,3,1,2,2,2,4,2,3,3,2,3,2,3,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,X,X,X,X,X,X,X,X,X,X,X
41002924,312040726,7040322510,3,16,A,10,2,X,2,2,1,9,9,9,4,3,4,4,1,6,2,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,X,X,X,X,X,X,X,X,X,X,X
41002942,512243241,7040121803,5,1,A,10,1,1,1,2,2,1,Z,Z,3,Z,Z,2,X,2,3,X,X,Z,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002943,512243242,7040121803,5,2,A,10,2,X,1,2,2,7,7,3,3,4,5,1,4,4,3,1,Z,4,Z,1,Z,1,2,3,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,Z,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,Z,2,3,4,2,1,2,X,1,3
41002944,512243243,7040121803,5,3,A,10,2,X,1,2,2,1,2,3,4,3,1,4,2,1,3,2,1,1,1,1,3,1,1,1,Z,1,1,X,1,1,1,1,1,1,1,1,Z,1,1,Z,2,2,2,1,1,2,2,2,2,1,Z,1,1,1,2,2,Z,2,1,1,1,1,2,1,1,1,2,2,2,X,X,X,X,X,X,X,1,1,1,2,X,4,X,X,X,X,X
41002945,512243244,7040121803,5,4,A,10,2,X,1,2,2,5,7,3,3,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41002946,512243245,7040121803,5,5,A,10,2,X,1,2,2,4,7,3,3,1,1,2,1,1,2,2,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002947,512243246,7040121803,5,6,A,10,2,X,1,2,2,4,7,3,3,1,1,2,1,1,2,2,1,2,1,1,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,Z,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002948,512243247,7040121803,5,7,A,10,1,X,1,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002949,512243248,7040121803,5,8,A,10,2,X,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,1,X,1,1,X,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002950,512243249,7040121803,5,9,A,10,2,X,1,2,2,4,2,7,4,5,2,4,3,5,3,4,3,4,3,2,X,1,3,3,1,2,1,2,2,1,2,1,2,Z,2,1,2,1,2,1,2,Z,2,1,2,1,2,1,2,1,2,1,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41002951,512243250,7040121803,5,10,A,10,2,X,1,2,2,7,6,3,4,3,2,2,2,3,Z,3,3,X,1,2,3,2,2,1,1,X,X,X,1,1,1,1,1,1,1,1,X,1,1,1,X,1,1,1,1,1,1,1,1,1,X,1,1,1,1,1,1,1,1,X,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,1,1,1,1,1,1,1,1,1,1,1
41002952,512243251,7040121803,5,11,A,10,2,X,1,2,2,1,1,1,1,1,1,1,1,1,1,X,1,X,1,X,1,1,1,1,1,1,1,X,1,1,1,1,1,1,1,X,X,1,1,1,X,1,X,1,1,X,X,1,1,X,X,1,1,1,1,1,X,1,1,1,X,1,1,1,1,1,X,1,1,1,1,1,1,1,1,X,1,1,1,1,1,X,X,X,X,X,X
41002953,512243252,7040121803,5,12,A,10,2,X,1,2,2,6,4,3,7,1,5,X,X,3,3,X,X,X,X,X,X,1,X,3,X,X,X,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,X,X,X,X
41002954,512243253,7040121803,5,13,A,10,2,X,1,2,2,6,6,3,3,2,5,4,1,6,3,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,1,1,1,1,1,1,X,1,1,1,1,1,1,1,1,X,X,X,X,X,X,X,2,1,1,Z,2,1,2,1,1,1,1
41002955,512243254,7040121803,5,14,A,10,2,X,1,2,2,6,4,3,3,3,1,4,3,2,3,4,3,2,1,1,3,2,1,3,2,1,3,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,3,1,3,2,2,4,2,2,2,4
41002956,512243255,7040121803,5,15,A,10,1,1,1,2,2,2,3,2,3,2,3,X,2,3,2,X,2,2,2,1,1,1,X,1,1,1,1,1,1,X,X,X,X,1,1,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1
