sq_scan,sq_bar,sq_udise,sq_q01,sq_q02,sq_q03,sq_q04,sq_q05,sq_q06,sq_q07,sq_q08,sq_q09,sq_q10,sq_q11,sq_q12,sq_q13,sq_q14,sq_q15,sq_q16,sq_q17,sq_q18,sq_q19,sq_q20,sq_q21,sq_q22,sq_q23,sq_q24,sq_q25,sq_q26,sq_q27,sq_q28,sq_q29,sq_q30,sq_q31,sq_q32,sq_q33,sq_q34,sq_q35,sq_q36,sq_q37,sq_q38,sq_q39,sq_q40,sq_q41,sq_q42,sq_q43,sq_q44,sq_q45,sq_q46,sq_q47,sq_q48,sq_q49,sq_q50,sq_q51,sq_q52,sq_q53,sq_q54,sq_q55,sq_q56,sq_q57,sq_q58,sq_q59,sq_q60,sq_q61,sq_q62,sq_q63,sq_q64,sq_q65,sq_q66,sq_q67,sq_q68,sq_q69a,sq_q69b,sq_q69c,sq_q69d,sq_q69e,sq_q69f,sq_q69g,sq_q69h,sq_q70,sq_q71,sq_q72,sq_q73
41001821,442036764,7040322812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,3,3,3,2,3,3,2,2,2,1,1,1,2,1,1,1,2,2,4,4,4,3,2,1,1,1,1,1,1,2,2,4,4,4,4
41001882,442036755,7040322603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,2,1,3,4,4,4,3,2,1,1,1,1,1,2,1,4,4,4,4
41001958,442036773,7040323805,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,2,3,3,1,2,1,1,2,3,1,1,1,3,2,3,2,3,2,2,1,1,1,1,1,2,1,1,1,3,Z,4,3,2,2,2,2,1,1,1,2,1,1,2,4,3,4,3
41002165,442036772,7040323803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,3,4,4,3,4,2,1,2,2,2,2,2,2,4,4,4,4
41002358,442036775,7040323809,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,1,1,1,2,2,2,2,2,4,4,4,4
41002359,442005799,7040223703,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,3,3,3,3,3,2,2,3,1,2,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,1,1,1,2,1,1,2,2,1,2,4,4,4,4,1,1,1,1,1,1,1,2,4,3,4,4
41002410,442005786,7040123502,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,3,3,3,2,2,2,3,3,1,2,2,1,2,2,2,1,1,1,3,3,3,3,2,2,4,2,1,1,1,3,1,1,3,3,1,3,3,3,4,4,2,1,1,1,1,1,1,1,3,3,3,4
41002690,442036767,7040322910,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,Z,1,1,1,1,2,2,1,1,1,1,3,3,2,3,3,2,1,1,1,1,1,2,1,1,1,2,1,3,2,4,3,4,1,1,1,2,1,2,2,2,4,4,3,4
41002759,442005777,7040122504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,1,1,1,2,1,1,2,1,1,1,3,3,3,3,1,2,1,1,2,1,1,2,4,4,4,4
41002822,442036749,7040322502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,2,3,3,2,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,2,1,1,2,1,2,2,2,2,4,4,4,3
41002887,442005773,7040121911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,3,2,3,2,3,3,3,3,1,1,1,1,2,2,1,1,1,Z,2,3,3,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,3,3,3,3,2,1,1,1,2,1,1,1,4,4,4,4
41002908,442005816,7040423902,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,3,2,3,3,3,3,3,3,2,1,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2,1,1,2,1,1,1,1,2,1,3,3,3,4,4,2,1,2,1,2,1,1,1,4,4,3,4
41003032,442036712,7040121803,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,2,3,2,2,3,3,3,1,1,2,1,2,2,1,1,1,3,2,3,3,3,2,2,2,1,2,1,1,2,1,1,1,2,1,3,3,3,3,2,1,1,1,1,2,1,2,1,3,3,3,4
41003214,442036750,7040322503,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,2,2,1,1,1,3,3,3,2,2,3,2,2,1,1,1,1,2,2,1,1,2,1,4,4,4,3,2,1,2,1,1,1,1,2,2,3,4,4,1
41003215,442036719,7040122704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,2,2,1,1,2,2,2,4,4,4,4
41003260,442036715,7040121908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,2,2,4,4,4,4
41003357,442036786,7040921902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,2,1,3,4,4,4,4,1,2,1,1,1,1,1,1,4,4,4,4
41003487,442005797,7040223701,1,1,2,1,X,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,2,2,2,3,2,2,2,2,1,1,1,3,1,1,1,2,2,3,3,3,3,3,2,1,1,1,Z,1,1,1,Z,3,4,4
41003731,442036727,7040223601,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,1,1,3,3,3,3,3,3,2,2,1,Z,2,2,2,1,2,1,2,1,1,4,3,3,3,2,1,1,1,1,1,1,1,4,4,4,4
41003797,442036720,7040122801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,3,Z,1,1,1,1,1,1,2,1,2,4,3,3,3,2,1,1,1,1,1,1,Z,4,4,4,4
41003925,442005811,7040422911,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,3,2,2,2,3,2,2,1,1,2,2,1,1,1,3,2,3,1,3,1,2,2,1,1,1,1,2,1,1,1,3,1,2,3,3,2,3,1,2,1,1,1,1,1,1,3,3,3,4
