sq_scan,tq_bar,tq_udise,tq_grade,tq_section,tq_gender,tq_emp,tq_exp,tq_pqua,tq_subj,tq_age,tq_q01,tq_q02,tq_q03,tq_q04,tq_q05,tq_q06,tq_q07,tq_q08,tq_q09,tq_q10,tq_q11,tq_q12,tq_q13,tq_q14,tq_q15,tq_q16,tq_q17,tq_q18,tq_q19,tq_q20,tq_q21,tq_q22,tq_q23,tq_q24,tq_q25,tq_q26,tq_q27,tq_q28,tq_q29,tq_q30,tq_q31,tq_q32,tq_q33,tq_q34,tq_q35,tq_q36,tq_q37,tq_q38,tq_q39,tq_q40,tq_q41,tq_q42,tq_q43,tq_q44,tq_q45,tq_q46,tq_q47,tq_q48,tq_q49,tq_q50,tq_q51,tq_q52,tq_q53,tq_q54,tq_q55,tq_q56,tq_q57,tq_q58,tq_q59,tq_q60,tq_q61,tq_q62,tq_q63,tq_q64,tq_q65,tq_q66,tq_q67,tq_q68,tq_q69,tq_q70a,tq_q70b,tq_q70c,tq_q70d,tq_q71a,tq_q71b,tq_q71c,tq_q71d,tq_q71e,tq_q71f
"41000374","122010475","07040121501","10","A","1","1","4","2","2","4","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","4","1","1","1","1","1","1","2","2","2","1","1","2","1","2","2","2","2"
"41000375","122010473","07040121501","10","A","1","1","4","X","1","4","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","X","4","1","1","1","1","1","1","2","2","2","1","1","2","2","2","2","2","1"
"41000376","122010472","07040121501","10","A","1","1","4","2","1","3","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","1","1","1","1","1","1","2","2","2","1","1","1","2","2","2","2","2"
"41000377","122010471","07040121501","10","B","1","1","4","2","X","4","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","1","1","1","1","3","3","X","X","X","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","1","1","1","1","1","1","2","2","2","1","1","2","2","2","2","1","2"
"41000378","822008298","07040121501","08","A","1","1","4","2","1","4","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","2","2","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","4","1","1","1","1","1","1","2","2","2","1","1","2","2","2","2","2","1"
"41000379","822008299","07040121501","08","B","1","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","Z","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","1","1","1","1","1","1","1","2","2","2","1","1","2","1","2","2","2","2"
"41000380","822008300","07040121501","08","A","1","1","1","2","4","4","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","1","1","1","1","1","1","2","2","2","1","1","2","2","2","2","1","2"
"41000381","822008297","07040121501","08","B","1","1","4","2","3","4","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","1","1","1","1","1","1","2","2","2","1","1","2","2","2","1","2","2"
"41000393","122010536","07040223001","10","A","1","1","4","2","1","4","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","1","1","1","1","2","1","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","2","1","2"
"41000394","122010540","07040223001","10","A","2","1","4","2","1","3","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","1","1","1","1","2","1","3","2","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","Z","2","1","2","2","1","1","2","2","2","2","2","1"
"41000395","122010538","07040223001","10","A","1","3","2","2","2","3","1","1","1","1","2","2","1","1","1","2","1","1","2","2","2","1","1","1","1","2","1","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","2","1","2"
"41000396","122010539","07040223001","10","A","1","1","4","2","4","3","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","1","1","1","1","2","1","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","2","1","2"
"41000397","822008355","07040223001","08","A","1","3","2","2","2","3","1","1","1","1","1","2","X","X","X","2","1","1","2","2","2","1","1","1","1","2","1","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","3","2","1","2","2","1","1","1","2","2","2","1","2"
"41000398","822008356","07040223001","08","A","2","1","4","2","1","3","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","1","1","1","1","2","1","3","2","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","2","2","1","2","2","1","1","2","2","2","2","2","1"
"41000399","822008354","07040223001","08","A","1","1","4","2","4","4","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","1","1","1","1","2","1","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","2","1","2"
"41000400","822008353","07040223001","08","A","1","1","4","2","5","4","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","1","1","1","1","2","1","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","2","1","2"
"41000551","122010459","07040121201","10","E","1","1","4","2","1","3","1","1","1","1","1","2","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","3","3","3","3","3","3","3","2","2","1","1","1","2","1","1","2","3","3","3","3","3","2","3","2","3","3","3","2","3","3","3","2","2","3","3","3","3","3","3","3","3","1","1","1","1","2","2","1","2","2","2","1","1","2","2","2","2","2"
"41000552","122010458","07040121201","10","E","1","1","4","2","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","2","2","3","1","2","1","2","1","1","1","3","3","3","3","3","3","2","2","2","3","3","2","3","3","3","3","3","3","3","3","2","3","3","3","3","4","1","1","1","2","2","2","1","2","2","2","1","1","2","2","2","2","2"
