sq_scan,tq_bar,tq_udise,tq_grade,tq_section,tq_gender,tq_emp,tq_exp,tq_pqua,tq_subj,tq_age,tq_q01,tq_q02,tq_q03,tq_q04,tq_q05,tq_q06,tq_q07,tq_q08,tq_q09,tq_q10,tq_q11,tq_q12,tq_q13,tq_q14,tq_q15,tq_q16,tq_q17,tq_q18,tq_q19,tq_q20,tq_q21,tq_q22,tq_q23,tq_q24,tq_q25,tq_q26,tq_q27,tq_q28,tq_q29,tq_q30,tq_q31,tq_q32,tq_q33,tq_q34,tq_q35,tq_q36,tq_q37,tq_q38,tq_q39,tq_q40,tq_q41,tq_q42,tq_q43,tq_q44,tq_q45,tq_q46,tq_q47,tq_q48,tq_q49,tq_q50,tq_q51,tq_q52,tq_q53,tq_q54,tq_q55,tq_q56,tq_q57,tq_q58,tq_q59,tq_q60,tq_q61,tq_q62,tq_q63,tq_q64,tq_q65,tq_q66,tq_q67,tq_q68,tq_q69,tq_q70a,tq_q70b,tq_q70c,tq_q70d,tq_q71a,tq_q71b,tq_q71c,tq_q71d,tq_q71e,tq_q71f
"41002907","522003865","07040423902","05","C","1","1","2","1","5","3","1","2","1","1","1","2","2","1","2","1","2","1","2","1","1","1","1","1","1","1","2","3","3","2","2","2","2","2","2","2","2","3","1","1","1","2","3","3","3","3","3","2","2","2","2","3","3","3","2","2","2","2","2","2","3","2","2","3","3","3","2","3","2","2","1","2","2","2","1","2","1","2","2","1","1","1","1","1","1"
"41003033","822054174","07040121803","08","A","1","1","4","2","4","3","2","1","1","1","2","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","2","3","3","2","3","2","1","2","1","2","3","3","3","3","3","2","2","2","2","3","3","3","3","3","3","3","2","2","3","2","2","3","3","2","3","4","1","2","2","2","2","2","1","2","2","1","2","2","2","2","2","1","2"
"41003034","822054175","07040121803","08","B","1","1","4","2","1","3","2","1","1","1","2","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","2","3","3","2","3","2","1","2","1","2","3","3","3","3","3","2","2","2","2","3","3","2","3","3","3","3","2","2","3","1","2","2","3","2","3","3","1","2","2","2","3","2","2","2","X","X","X","X","X","X","X","X","1"
"41003035","822054176","07040121803","08","A","1","1","4","3","5","4","2","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","3","3","3","3","3","2","3","3","2","3","2","1","2","1","2","3","3","3","3","2","2","2","2","3","3","3","1","2","3","3","3","2","2","3","3","2","3","3","2","3","4","2","2","1","2","2","1","2","2","2","1","2","2","1","2","2","2","2"
"41003036","822054173","07040121803","08","A","1","1","4","3","2","4","2","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","3","3","3","3","3","2","3","3","2","3","2","1","2","1","2","3","3","3","3","2","2","2","2","3","3","3","1","2","3","3","3","2","2","3","3","2","3","3","2","3","4","2","2","1","2","2","1","2","2","2","1","2","2","1","2","2","2","2"
"41003216","122068721","07040122704","10","Z","2","1","3","2","1","2","1","1","1","1","2","2","2","1","1","1","1","1","1","1","2","1","1","1","1","2","1","3","2","2","2","3","2","2","3","2","2","2","2","1","1","1","2","3","2","2","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","4","4","2","2","2","2","3","2","1","2","2","1","1","1","2","2","2","2","2"
"41003217","122068724","07040122704","10","Z","1","1","3","2","2","3","2","1","1","1","1","2","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","3","2","2","3","3","3","3","3","1","2","1","1","1","1","1","3","3","2","3","3","3","2","3","2","3","3","2","3","3","3","3","2","2","3","2","3","3","3","3","2","4","2","2","2","2","3","2","1","2","2","1","1","2","1","2","2","2","2"
"41003218","122068723","07040122704","10","Z","2","1","1","2","3","3","1","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","3","2","3","3","3","2","3","3","1","1","1","1","1","1","1","3","3","3","2","3","2","2","3","2","3","3","3","2","3","3","3","3","3","3","3","3","3","3","2","3","4","2","2","2","2","1","2","1","2","2","1","1","2","2","2","1","2","2"
"41003219","122068725","07040122704","10","Z","2","1","1","3","1","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","2","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","2","3","3","3","3","3","3","1","3","3","3","3","4","4","2","4","1","1","1","2","1","2","2","1","1","2","2","2","2","2","1"
"41003220","122068722","07040122704","10","Z","1","1","2","3","4","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","3","2","3","3","2","2","3","3","2","3","2","3","1","1","1","3","2","2","2","3","2","2","2","2","2","2","3","2","3","2","3","2","2","2","2","2","3","3","3","3","3","2","2","1","2","2","2","1","2","2","1","1","2","2","2","2","1","2"
"41003251","122068715","07040121908","10","D","1","2","1","3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","3","2","3","3","2","3","3","3","1","2","1","1","1","1","1","2","3","3","3","3","3","2","2","2","3","3","3","3","3","3","2","2","3","3","3","3","3","3","2","3","4","2","1","1","2","2","2","1","2","2","1","1","2","2","2","2","2","1"
"41003252","122068714","07040121908","10","D","1","1","1","2","1","2","2","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","2","1","1","2","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","3","4","1","1","1","1","1","4","2","2","2","2","1","1","2","2","2","2","2"
"41003253","122068713","07040121908","10","D","2","2","1","2","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","2","3","2","3","2","3","2","1","2","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","4","2","1","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2"
"41003254","122068712","07040121908","10","D","1","2","2","2","4","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","3","3","2","3","3","2","1","2","1","1","1","1","3","3","3","3","3","3","2","2","2","2","3","2","3","3","3","2","2","2","2","3","3","3","3","2","3","4","1","1","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2"
"41003255","122068711","07040121908","10","D","1","1","2","3","2","2","1","1","1","1","2","2","2","2","2","1","2","2","2","1","1","1","1","1","1","1","1","3","3","2","2","2","1","2","1","2","1","2","2","2","2","1","3","2","3","3","3","3","2","2","1","2","3","3","3","3","3","2","2","3","3","2","2","3","3","3","3","2","3","2","2","2","1","2","2","2","2","2","1","2","1","2","2","2","2"
"41003256","822054181","07040121908","08","C","1","2","1","2","2","2","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","1","1","1","1","3","2","3","3","3","2","2","2","1","2","1","1","1","1","1","2","2","2","3","3","2","2","2","2","3","3","3","3","3","3","3","2","2","3","2","2","3","3","3","3","2","1","2","2","2","1","5","1","2","2","1","1","2","1","2","2","2","2"
"41003257","822054182","07040121908","08","C","1","1","3","2","4","2","1","1","1","1","2","2","2","1","2","1","2","1","2","2","1","1","1","1","1","1","1","3","2","3","3","2","2","2","2","1","2","2","2","1","1","1","3","2","2","3","3","3","3","2","2","3","3","3","2","3","3","2","2","3","2","3","3","3","3","3","3","2","2","1","1","1","1","5","1","2","2","1","2","2","2","2","2","1","2"
"41003258","822054184","07040121908","08","C","1","2","1","2","1","1","1","1","1","2","2","2","2","1","2","1","2","2","2","2","1","1","1","1","1","1","1","3","2","2","3","2","2","2","2","1","2","2","2","2","1","1","3","2","3","3","2","3","2","2","2","2","3","3","3","3","3","3","2","2","3","2","2","3","3","3","3","2","2","1","1","1","1","5","1","X","X","1","X","X","X","X","X","X","1"
"41003259","822054183","07040121908","08","C","1","2","2","2","3","2","1","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","2","2","2","2","2","1","1","1","1","2","2","2","2","3","3","3","3","3","2","2","2","2","3","3","3","3","2","3","2","2","2","2","2","3","3","3","3","2","2","1","1","1","1","5","1","X","X","1","X","X","X","X","1","X","X"
"41003351","522023656","07040921902","05","A","2","1","2","1","3","2","2","2","2","1","2","2","2","1","2","1","2","2","1","1","1","1","1","1","1","1","1","3","2","3","3","2","2","2","3","2","2","2","3","3","1","2","3","3","3","3","3","3","2","2","2","3","3","2","3","3","3","2","2","2","3","1","2","3","2","3","3","2","2","2","2","2","4","4","2","1","1","2","2","1","2","1","2","2","2"
"41003352","522023658","07040921902","05","A","1","1","3","1","2","3","2","1","1","1","2","2","2","1","2","1","2","2","1","1","1","1","1","1","1","1","1","3","2","3","3","3","2","2","2","2","2","2","3","3","1","2","3","3","3","3","3","3","2","2","2","3","3","2","3","3","3","2","2","2","3","1","2","3","2","3","Z","2","2","2","2","2","Z","1","1","1","1","2","2","1","1","1","2","2","2"
"41003353","522023657","07040921902","05","A","2","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","2","1","1","1","1","1","1","1","1","1","2","3","2","2","3","2","2","1","2","3","3","3","3","3","3","3","3","3","3","3","2","3","2","2","2","2","3","3","3","3","3","2","2","2","2","2","3","3","3","3","3","1","2","2","1","2","2","4","1","1","1","2","2","2","2","2","2","2","1"
"41003354","322023233","07040921902","03","A","2","1","2","1","3","2","2","2","2","1","2","2","2","1","2","1","2","2","1","1","1","1","1","1","1","1","1","3","2","3","3","2","2","2","3","2","2","2","3","3","1","2","3","3","3","3","3","3","2","2","2","3","3","2","3","3","3","2","2","2","3","1","2","3","2","3","3","2","2","2","2","2","4","4","2","1","1","2","2","1","2","1","2","2","2"
"41003355","322023234","07040921902","03","A","2","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","2","1","1","1","1","1","1","1","1","1","2","3","2","2","3","2","2","1","2","3","3","3","3","3","3","3","3","3","3","3","2","3","2","2","2","2","3","3","3","3","3","3","2","2","2","2","3","3","3","3","3","1","2","4","1","2","2","4","1","1","2","2","2","2","2","2","2","2","Z"
"41003356","322023235","07040921902","03","A","1","1","3","1","2","3","2","1","1","1","2","2","1","1","1","2","1","1","2","2","2","1","1","1","1","1","1","3","2","3","3","3","2","3","3","2","2","2","2","3","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","1","2","1","1","1","1","1","1","1","2","2","1","1","1","2","2","2"
"41003478","822008373","07040223701","08","X","2","1","4","2","1","4","1","1","1","1","1","Z","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","2","1","1","1","1","3","3","3","3","3","2","2","2","3","2","2","3","3","3","2","3","3","3","3","3","2","3","3","3","3","4","1","2","2","1","1","2","2","X","X","X","1","1","X","X","X","X","X"
"41003479","822008376","07040223701","08","X","2","1","4","2","2","4","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","2","3","3","3","3","3","1","1","2","1","1","1","1","3","3","3","3","3","2","2","2","2","2","2","3","3","3","2","3","3","3","3","3","2","3","3","3","3","4","1","2","2","1","1","2","2","X","X","X","1","X","1","X","X","X","X"
"41003480","822008374","07040223701","08","X","2","1","3","2","1","2","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","2","2","3","1","1","2","1","1","1","1","3","3","3","3","3","2","2","2","2","2","2","3","3","3","2","3","3","3","3","2","2","3","3","3","3","2","1","2","2","1","1","2","2","2","2","1","2","1","2","2","2","2","2"
"41003481","822008375","07040223701","08","X","2","1","4","2","4","4","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","2","1","1","1","1","3","3","3","3","3","3","2","2","2","2","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","4","1","2","1","1","2","2","2","2","2","2","1","2","2","2","2","1","2"
"41003482","122010559","07040223701","10","X","2","1","4","2","3","4","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","2","2","3","1","1","2","1","1","1","1","3","3","3","3","3","2","2","2","2","3","3","3","3","3","2","3","3","3","3","3","2","3","3","3","3","4","1","2","2","1","1","2","2","2","2","1","1","2","2","2","1","2","2"
"41003483","122010557","07040223701","10","X","2","1","4","2","1","4","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","2","Z","3","1","1","2","1","1","1","1","3","3","3","3","3","2","2","2","2","2","2","3","3","3","2","3","3","3","3","3","2","3","3","3","3","4","1","2","1","1","1","2","2","2","2","1","2","2","2","2","2","2","1"
"41003484","122010560","07040223701","10","X","2","1","4","2","4","4","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","2","1","1","1","1","3","3","3","3","3","3","2","2","2","2","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","4","1","2","1","1","2","2","2","2","2","2","1","2","2","2","2","1","2"
"41003485","122010556","07040223701","10","X","2","1","3","2","3","3","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","2","1","1","1","1","3","3","3","3","3","3","2","2","3","2","3","3","3","3","2","3","3","3","3","3","2","3","3","3","3","3","1","1","2","1","1","4","2","2","2","2","1","2","2","2","1","2","2"
"41003486","122010558","07040223701","10","X","2","1","4","2","1","4","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","2","1","1","1","1","3","3","3","3","3","3","2","2","3","2","3","3","3","3","3","3","3","3","3","3","2","3","3","3","2","2","1","2","2","1","1","2","2","2","2","2","1","2","2","2","2","2","1"
"41003521","822054208","07040223601","08","B","2","1","3","2","3","3","2","1","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","3","2","3","3","3","2","2","3","2","1","1","1","1","1","1","3","3","3","3","3","3","2","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","4","4","2","1","1","1","1","2","1","2","2","1","1","2","2","2","1","2","2"
"41003522","822054205","07040223601","08","B","2","1","4","2","1","3","2","1","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","3","2","3","3","3","2","2","3","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","4","2","1","1","1","1","5","2","2","2","1","1","1","2","2","2","2","2"
"41003523","822054206","07040223601","08","B","2","1","4","2","2","3","2","1","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","3","2","3","3","3","2","2","3","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","2","4","2","1","1","1","1","2","1","2","2","1","1","2","1","2","2","2","2"
"41003524","822054207","07040223601","08","A","2","1","3","2","4","2","1","1","1","2","2","2","2","1","1","2","2","2","2","2","1","1","1","1","1","1","1","3","2","2","2","3","2","2","2","2","2","2","2","1","1","1","2","3","3","3","3","2","2","2","3","2","3","3","2","3","2","2","2","3","3","1","2","3","3","3","3","1","1","2","2","2","1","5","1","X","X","1","X","X","X","X","X","1","X"
"41003732","122068761","07040223601","10","A","2","1","3","2","1","4","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","3","3","3","2","3","2","1","1","1","1","1","1","1","3","3","3","3","3","2","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","2","1","1","1","1","1","2","1","2","2","2","1","1","2","2","2","2","2"
"41003733","122068762","07040223601","10","B","2","1","4","2","2","3","2","1","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","3","2","3","3","3","2","2","3","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","2","4","2","1","1","1","1","2","1","2","2","1","1","2","1","2","2","2","2"
"41003734","122068763","07040223601","10","A","1","1","2","2","2","2","2","1","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","3","2","3","3","3","2","2","3","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","2","1","1","1","1","2","1","2","2","2","1","2","1","2","2","2","2"
"41003735","122068764","07040223601","10","A","2","1","4","2","1","3","2","1","1","1","2","2","2","1","1","1","1","1","2","1","2","1","1","1","1","1","1","3","2","3","3","3","2","2","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","2","2","3","3","3","3","4","2","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","1"
"41003736","122068765","07040223601","10","B","2","1","3","2","3","3","2","1","1","1","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","1","3","2","3","3","3","2","2","3","2","1","1","1","1","1","1","3","3","3","3","3","3","2","3","3","3","2","3","3","3","3","3","3","3","3","3","2","3","3","3","4","4","2","1","1","1","1","2","1","2","2","1","1","2","2","2","1","2","2"
"41003798","122068726","07040122801","10","A","1","1","4","2","2","4","2","1","1","1","2","1","1","1","1","1","1","2","2","1","2","1","1","1","1","1","1","3","2","2","2","2","2","2","3","1","2","2","2","1","1","1","3","3","3","3","3","2","3","2","2","2","3","2","3","3","2","2","2","3","2","2","2","3","3","2","3","4","1","1","1","2","2","4","1","2","2","2","1","2","1","2","2","2","2"
"41003799","122068727","07040122801","10","A","2","3","2","2","1","2","2","1","1","1","1","2","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","3","1","3","3","3","2","2","3","3","1","2","1","1","Z","Z","3","3","3","3","3","3","2","2","2","3","3","3","3","3","2","3","3","3","3","2","3","3","3","3","3","4","Z","1","1","2","1","1","2","2","2","1","1","2","2","2","2","2","1"
"41003800","122068728","07040122801","10","A","2","3","1","2","3","1","2","1","2","1","2","2","1","1","2","1","1","1","2","1","1","1","1","1","1","1","1","3","2","2","2","3","2","2","2","2","2","1","2","3","2","1","2","3","3","3","3","2","2","2","2","2","1","2","2","2","3","2","2","2","3","2","2","2","1","3","3","3","3","3","1","2","2","4","2","2","2","2","1","2","2","2","1","2","2"
"41003801","122068729","07040122801","10","A","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","3","2","2","2","2","1","1","2","2","2","1","1","1","1","1","2","3","3","2","3","2","2","2","2","3","3","3","3","3","3","2","2","3","3","2","2","3","3","3","3","4","1","2","1","2","2","2","1","2","2","1","1","1","2","2","2","2","2"
"41003802","122068730","07040122801","10","A","2","1","2","2","4","2","2","2","1","1","2","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","2","3","2","2","1","2","2","1","2","1","2","2","3","2","1","1","2","2","3","3","3","1","2","2","2","3","3","1","2","3","3","3","3","2","2","1","3","3","3","2","3","4","4","4","2","2","2","2","1","2","2","1","1","2","2","2","2","1","2"
"41003923","522003856","07040422911","05","A","2","1","4","3","5","2","1","1","1","1","2","2","2","1","1","2","1","1","1","1","2","1","2","1","1","1","2","3","2","2","2","2","1","2","2","3","3","3","2","1","1","1","2","2","2","2","3","2","2","1","1","3","3","3","3","3","2","2","2","2","3","2","2","3","3","2","3","4","2","2","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1"
"41003924","522003858","07040422911","05","B","1","1","4","1","5","3","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","1","1","1","1","1","3","2","2","2","2","1","2","3","1","2","1","1","1","1","1","3","3","2","2","2","2","2","1","2","2","3","3","3","3","2","2","3","2","2","2","2","3","3","2","2","3","2","1","2","1","1","2","2","2","1","2","2","1","1","1","1","1","1"
"41004017","522003835","07040222801","05","A","2","1","3","1","2","2","1","1","1","1","1","2","1","2","2","1","2","1","2","1","1","1","1","1","1","1","1","3","3","3","3","2","2","2","3","1","2","2","1","1","1","1","2","2","3","3","3","2","2","3","2","2","2","3","2","2","3","3","3","3","3","1","3","3","3","3","1","4","1","1","1","1","2","5","2","2","1","2","2","1","1","2","2","2","1"
"41004018","522003836","07040222801","05","A","2","1","4","1","1","4","1","1","1","1","1","2","1","2","2","1","2","1","2","1","1","1","1","1","1","1","1","3","3","3","3","2","2","2","3","1","2","2","1","1","1","1","2","2","3","2","3","2","2","3","2","2","2","2","2","2","3","2","2","3","3","1","3","3","3","3","2","4","1","1","1","2","1","2","1","2","1","2","2","Z","1","1","2","2","2"
"41004019","522003837","07040222801","05","A","2","1","4","1","3","4","1","1","1","1","1","2","1","2","2","1","2","1","2","1","1","1","1","1","1","1","1","3","3","3","3","2","2","2","3","1","2","2","1","1","1","1","2","2","3","2","3","2","2","3","2","2","2","2","2","2","3","2","2","3","3","1","3","3","3","3","2","4","1","1","1","2","1","2","1","2","1","2","2","1","2","1","2","2","2"
"41004020","822008348","07040222801","08","A","2","1","3","2","3","3","1","1","1","1","2","2","1","1","1","1","2","1","2","1","2","1","1","1","1","1","1","3","2","2","2","2","1","1","3","2","3","3","2","2","1","1","2","2","3","3","2","2","2","2","1","2","3","3","2","3","2","2","2","2","2","1","2","3","3","2","2","4","4","3","3","3","3","5","2","2","2","1","2","2","2","2","1","2","1"
"41004021","822008345","07040222801","08","A","2","1","3","2","1","3","1","1","1","1","2","2","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","3","2","2","2","2","1","2","3","2","3","3","2","2","1","1","2","2","3","3","2","2","2","2","1","2","3","3","2","3","2","2","2","2","2","2","3","3","3","2","3","4","3","2","2","2","2","5","2","2","2","1","2","1","2","2","2","2","1"
"41004022","822008347","07040222801","08","A","2","1","3","1","4","4","1","1","1","1","2","2","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","2","3","3","2","3","3","2","3","1","2","3","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","2","2","2","3","2","3","2","3","3","2","3","4","2","2","1","2","2","4","1","X","X","1","X","X","X","X","X","1","X"
"41004023","822008346","07040222801","08","A","2","1","3","2","2","3","1","1","1","1","2","2","1","1","1","1","2","1","2","1","2","1","1","1","1","1","1","3","2","2","2","2","1","2","3","2","3","3","2","2","1","1","2","2","3","3","2","2","2","2","1","2","3","3","2","3","3","2","2","2","1","1","2","3","3","2","2","4","4","2","2","2","2","5","2","2","2","1","2","2","1","2","2","2","1"
"41004025","122010553","07040223501","10","B","1","1","3","2","3","3","1","1","1","1","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","1","1","3","3","3","3","3","2","2","2","2","1","1","1","1","1","1","3","3","3","2","3","1","3","3","3","2","2","3","2","3","2","2","3","3","3","3","2","3","3","3","3","2","2","1","2","1","2","2","2","2","2","1","1","1","2","1","1","2","2"
"41004026","122010555","07040223501","10","A","1","1","4","2","1","4","1","1","1","1","1","2","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","3","1","1","3","2","3","2","1","2","1","2","2","2","3","1","2","2","2","2","2","3","3","3","3","3","2","2","2","2","3","2","2","3","3","3","3","3","1","1","1","1","1","5","1","2","2","2","1","2","2","2","2","2","1"
"41004027","122010552","07040223501","10","A","1","1","3","2","4","3","1","2","1","2","2","2","2","2","2","1","2","1","1","2","2","1","1","1","1","1","1","3","2","2","3","2","1","2","2","2","2","3","3","3","3","3","2","2","3","2","3","3","2","3","2","2","3","3","3","3","2","2","2","1","3","3","1","2","3","3","3","1","1","1","1","2","1","5","Z","X","X","X","1","X","X","X","X","1","X"
"41004028","122010551","07040223501","10","B","2","1","4","2","1","4","1","1","1","2","2","2","1","1","2","2","2","1","2","1","2","1","1","1","1","1","1","3","3","3","3","3","1","1","2","3","3","2","1","3","1","3","2","2","3","1","2","2","2","2","2","3","3","3","3","3","2","2","2","2","3","1","2","3","3","3","3","1","1","1","1","1","1","5","1","2","2","2","1","1","2","2","2","2","2"
"41004029","122010554","07040223501","10","A","1","1","3","2","2","3","1","1","1","2","2","2","2","2","2","1","1","1","1","1","2","1","1","1","1","1","1","3","2","3","3","3","1","1","3","3","3","2","2","3","1","2","2","2","3","1","2","2","2","2","2","3","3","3","3","3","2","2","2","3","3","1","2","3","3","3","3","3","1","1","1","1","1","5","1","2","2","2","1","2","1","2","2","2","2"
"41004030","822008369","07040223501","08","B","1","1","2","2","4","3","1","1","1","2","2","2","1","1","2","2","2","1","2","1","2","1","1","1","1","1","1","3","3","3","3","3","1","1","3","3","3","1","2","3","1","3","2","2","3","1","2","2","2","2","2","3","3","3","3","3","2","2","2","2","3","2","2","2","3","3","2","1","1","1","1","1","1","4","1","2","2","1","2","1","2","2","2","1","2"
"41004031","822008370","07040223501","08","A","1","1","4","2","3","3","1","1","1","2","2","2","1","1","2","2","2","1","2","1","2","1","1","1","1","1","1","3","3","3","3","3","1","1","3","3","3","2","2","2","1","3","2","2","3","1","2","2","2","3","2","3","3","3","3","3","2","2","2","2","3","2","2","3","3","3","3","3","1","1","1","1","1","5","1","2","2","1","1","X","X","X","1","X","X"
"41004032","822008371","07040223501","08","B","1","1","4","2","2","4","1","1","1","2","2","2","1","1","2","2","2","1","2","1","2","1","1","1","1","1","1","3","3","3","3","3","1","1","3","3","3","2","2","3","2","3","2","2","3","1","2","2","2","2","2","3","3","3","3","3","2","2","2","2","3","2","2","3","3","3","3","1","1","1","1","1","1","5","1","Z","2","1","2","1","1","2","2","2","2"
"41004033","822008372","07040223501","08","A","2","1","4","2","1","4","1","1","1","2","2","2","1","1","2","2","2","2","1","2","1","1","1","1","1","1","1","3","3","3","3","3","1","1","3","3","3","2","2","3","1","3","2","2","3","1","2","2","2","2","2","2","3","3","3","3","2","2","2","2","3","1","2","3","2","3","3","3","1","1","1","1","1","5","1","2","2","1","2","1","2","2","2","2","2"
"41004098","122068786","07040321606","10","D","2","1","4","2","2","4","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","1","1","1","1","1","2","1","2","2","1","1","2","1","2","2","2","2"
"41004099","122068787","07040321606","10","D","2","1","4","3","4","4","1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","2","Z","1","1","1","2","1","X","X","X","1","X","X","X","X","1","X"
"41004100","122068788","07040321606","10","D","2","1","4","2","3","4","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","X","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","X","1","1","1","1","2","1","X","X","X","1","X","X","X","1","X","X"
"41004101","122068789","07040321606","10","D","2","1","4","2","1","3","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","4","2","1","1","1","1","2","1","2","2","2","1","2","2","2","2","2","1"
"41004102","122068790","07040321606","10","D","2","1","4","2","3","4","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","2","1","1","1","1","2","1","2","2","1","1","2","2","2","1","2","2"
