state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,obc_indicator
1,Jammu & Kashmir,lang,333,0.9,2,319,315,,,0,341,,2,323,,2,329.1812738,336.8,,,2,326.78,,342.54,,0,336.12,324.92,,,0,317.92,,0,329.31,,0
2,Himachal Pradesh,lang,319,1.3,0,328, ,,,3,319,,0,285,,0,315.2456437,322.55,,,2,316.88,,323.77,,0,319.01,322.19,,,2,313.37,,0,319.69,,1
3,Punjab,lang,355,0.5,2,387,343,,,0,346,,0,331,,0,349.9827351,360.02,,,2,359.69,,351.12,,2,351.16,362.73,,,2,320.46,,0,355.25,,2
4,Chandigarh,lang,335,1.9,2,321,327,,,2,375,,2,312,,0,332.3409488,337.12,,,2,303.52,,336.91,,0,339.34,300.45,,,0,342,,2,302.38,,0
5,Uttarakhand,lang,311,0.9,0,314,311,,,0,316,,2,288,,0,309.2418416,312.58,,,2,313.96,,305.7,,2,316.55,302.26,,,0,304.54,,0,308.62,,0
6,Haryana,lang,315,0.5,0,320,278,,,0,314,,0,297,,0,311.1485885,319.33,,,2,313.47,,316.61,,0,316.76,315.3,,,0,321.26,,2,313.09,,0
7,Delhi,lang,302,0.5,0,285,295,,,2,323,,2,300,,2,300.515012,304.58,,,2,287.31,,302.74,,0,307.13,284.35,,,0,292.34,,0,295.07,,0
8,Rajasthan,lang,339,0.4,2,345, ,,,3,338,,0,302,,0,338.2003926,340.35,,,2,342.48,,331.15,,2,336.22,342.61,,,2,330.67,,0,343.25,,2
9,Uttar Pradesh,lang,314,0.2,0,315,299,,,0,318,,2,297,,0,312.4417467,314.66,,,2,314.44,,310.14,,2,319,312.26,,,0,313.49,,0,313.34,,0
10,BIHAR,lang,317,0.3,0,312,304,,,0,334,,2,314,,2,316.7087997,316.39,,,1,314.49,,329.87,,0,320.45,315.28,,,0,315.58,,0,316.43,,0
11,SIKKIM,lang,331,4.3,1,314,369,,,2,323,,2,344,,2,326.4058609,335.4,,,2,323.69,,337.37,,0,328.79,311.59,,,0,335.77,,2,331.57,,2
12,ARUNACHAL PRADESH,lang,299,2,0,294,306,,,2,303,,2,297,,2,299.8700816,298.86,,,0,301.76,,296.77,,2,293.64,280.01,,,0,303.68,,2,295.22,,2
13,NAGALAND,lang,319,2,0,331, ,,,3,313,,0,306,,0,315.5596011,322.72,,,2,320.43,,318.01,,2,300.59,318.06,,,2,324.42,,2,319.85,,2
14,MANIPUR,lang,332,1.4,2,336,346,,,2,329,,0,336,,1,329.8403946,334.8,,,2,331.62,,333.93,,0,337.03,310.95,,,0,332.75,,0,330.01,,0
15,MIZORAM,lang,332,2.7,2,338, ,,,3,333,,0,299,,0,331.3423206,333.35,,,2,331.04,,333.33,,0,372.92,367.32,,,0,332.8,,0,312.29,,0
16,TRIPURA,lang,313,1.5,0,314,304,,,0,321,,2,299,,0,311.0863884,315.19,,,2,316.25,,308.41,,2,319.25,312.66,,,0,310.01,,0,315.58,,0
17,MEGHALAYA,lang,303,1.1,0,309,296,,,0,316,,2,317,,2,302.9794449,303.18,,,1,300.97,,310.96,,0,320.37,290.82,,,0,301.34,,0,294.15,,0
18,ASSAM,lang,326,0.5,2,328,314,,,0,330,,2,303,,0,323.8502139,328.48,,,2,327.51,,320.67,,2,328.41,332.66,,,2,321.03,,0,328.5,,1
19,WEST BENGAL,lang,337,0.4,2,331,358,,,2,353,,2,321,,0,334.7151972,339.7,,,2,333.43,,346.48,,0,343.79,330.72,,,0,319.6,,0,331.28,,0
20,JHARKHAND,lang,314,0.5,0,312,307,,,0,330,,2,300,,0,313.5572262,314.02,,,1,310.58,,321.81,,0,331.36,308.61,,,0,308.41,,0,313.06,,0
21,Odisha,lang,330,0.5,2,332,306,,,0,338,,2,317,,0,329.5043843,331.28,,,2,329.83,,331.73,,0,342.27,328.37,,,0,318.91,,0,334.29,,0
22,Chhattisgarh,lang,301,0.6,0,303,296,,,0,301,,0,287,,0,299.3646241,301.93,,,2,300.84,,300.31,,2,307.57,302.5,,,0,300.73,,0,298.59,,0
23,MADHYA PRADESH,lang,331,0.3,2,347,311,,,0,326,,0,317,,0,329.3265857,332.36,,,2,337.53,,321.11,,2,327.89,334.54,,,2,328.87,,1,332.03,,2
24,Gujarat,lang,330,0.4,2,333,327,,,0,328,,0,314,,0,328.1569306,331.62,,,2,332.57,,326.81,,2,332.88,333.93,,,2,333.32,,1,326.5,,0
25,Daman & Diu,lang,306,4.4,0,322,296,,,0,295,,0,260,,0,304.2515299,307.57,,,2,308.15,,302.58,,2,313.08,273.22,,,0,318.81,,2,298.35,,0
26,Dadra & Nagar Haveli,lang,290,3.3,0,284,266,,,0,304,,2,300,,2,281.8616949,298.42,,,2,290.55,,289.24,,2,304.99,271.98,,,0,266.63,,0,288.42,,0
27,Maharashtra,lang,333,0.3,2,339,335,,,0,326,,0,319,,0,329.4062178,336.54,,,2,335.24,,331.07,,2,334.59,332.5,,,0,325.9,,0,333.56,,0
28,Andhra Pradesh,lang,311,0.5,0,314,305,,,0,310,,0,312,,0,308.5196296,313.41,,,2,312.95,,308.45,,2,315.29,315.37,,,1,310.63,,0,307.56,,0
29,Karnataka,lang,323,0.4,1,334,326,,,0,315,,0,312,,0,320.638675,324.94,,,2,329.19,,316.12,,2,327.48,326.13,,,0,323.67,,0,323.62,,0
30,Goa,lang,327,1.7,2,323,324,,,1,351,,2,312,,0,321.2250568,333.38,,,2,330.19,,323.39,,2,329.57,313.49,,,0,327.86,,0,307.51,,0
31,Lakshadweep,lang,318,11.6,1,320, ,,,3, ,,3,303,,0,310.0565619,327.58,,,2,318.23,, ,,3,336, ,,,3,318.41,,0,309.8,,0
32,Kerala,lang,342,0.4,2,344,341,,,0,342,,0,337,,0,337.1738895,345.63,,,2,339.68,,346.07,,0,348.88,350.08,,,2,317.59,,0,340.07,,0
33,Tamilnadu,lang,320,0.4,0,324,330,,,2,311,,0,308,,0,318.3470136,321.95,,,2,318.57,,330.45,,0,312.08,323.62,,,2,327.81,,2,322.96,,2
34,Puducherry,lang,331,1.7,2,341,321,,,0,333,,0,343,,2,329.4750072,331.4,,,2,335.32,,328.12,,2,329.56,331.56,,,2,304.26,,0,330.73,,2
35,Andaman & Nicobar Islands,lang,323,4.1,1,324,290,,,0,326,,2,325,,1,321.2988959,324.68,,,2,326.03,,321.91,,2,322.76,291.54,,,0,343.74,,2,312.29,,0
36,Telangana,lang,294,0.5,0,297,284,,,0,293,,0,299,,2,292.5372248,294.66,,,2,292.81,,294.04,,0,303.92,292.8,,,0,288.27,,0,292.8,,0
37,Ladakh,lang,309,6.8,1,330,354,,,2,305,,0,284,,0,303.6800902,315.51,,,2,313.8,,306.23,,2,330.06,274.86,,,0,308.11,,0,218,,0
0,Z-National,lang,323,0.1,3,323,315,,,3,324,,3,309,,3,318.08,323.32,,,3,320.05,,321,,3,325.86,315.06,,,3,316.89,,3,314.73,,3
1,Jammu & Kashmir,math,310,0.8,2,304,303,,,0,315,,2,297,,0,308.95,310.31,,,2,307.18,,313.43,,0,311.75,299.56,,,0,302.16,,0,309.69,,0
2,Himachal Pradesh,math,296,1.1,0,301, ,,,3,297,,0,270,,0,294.92,296.96,,,2,295.83,,296,,1,296.83,298.29,,,2,293.66,,0,295.98,,1
3,Punjab,math,339,0.5,2,376,326,,,0,329,,0,315,,0,337.18,341.57,,,2,344.52,,335.28,,2,333.7,350.54,,,2,297.4,,0,339.7,,2
4,Chandigarh,math,311,1.7,2,305,317,,,2,337,,2,289,,0,312.49,309.35,,,0,291.47,,312.46,,0,313.04,290.38,,,0,345,,2,287.32,,0
5,Uttarakhand,math,291,0.8,0,289,293,,,2,299,,2,272,,0,293.05,289.25,,,0,294.85,,285.84,,2,296.51,284.7,,,0,279.89,,0,289.06,,0
6,Haryana,math,299,0.4,0,305,263,,,0,298,,0,280,,0,298.43,300.04,,,2,299.74,,298.63,,2,300.06,299.48,,,1,293.78,,0,299.53,,1
7,Delhi,math,282,0.4,0,269,277,,,2,298,,2,281,,2,282.03,282.73,,,1,266.31,,282.64,,0,285.74,269.46,,,0,273.95,,0,276.78,,0
8,Rajasthan,math,325,0.4,2,329, ,,,3,325,,0,293,,0,324.99,325.32,,,1,328.62,,316.6,,2,322.07,328.91,,,2,313.06,,0,330.04,,2
9,Uttar Pradesh,math,298,0.2,0,300,282,,,0,302,,2,284,,0,298.66,298,,,1,299.83,,292.75,,2,301.94,296.56,,,0,295.31,,0,298.98,,0
10,BIHAR,math,304,0.3,0,300,288,,,0,322,,2,300,,1,305.09,303.6,,,0,302.76,,314.84,,0,304.17,303.92,,,1,302.61,,0,305.15,,1
11,SIKKIM,math,298,3.2,1,286,310,,,2,291,,2,322,,2,298.26,297.69,,,1,293.15,,302.11,,0,300.56,291.12,,,0,296.65,,0,296.16,,0
12,ARUNACHAL PRADESH,math,277,1.7,0,273,277,,,2,285,,2,274,,2,279.37,274.97,,,0,282.42,,271.69,,2,276.42,267.08,,,0,278.94,,2,275.62,,1
13,NAGALAND,math,292,1.7,0,305, ,,,3,285,,0,284,,0,289.42,294.32,,,2,293.7,,290.36,,2,282.71,291.91,,,2,295.62,,2,288.76,,2
14,MANIPUR,math,310,1.2,2,316,323,,,2,308,,0,304,,0,306.84,313,,,2,308.34,,314.11,,0,312.43,293.82,,,0,307.8,,0,318.01,,2
15,MIZORAM,math,303,2.1,1,313, ,,,3,300,,0,280,,0,303.38,302.95,,,1,304.64,,302.23,,2,347.37,319.5,,,0,302.84,,0,298.93,,0
16,TRIPURA,math,292,1.3,0,293,288,,,0,297,,2,282,,0,293.01,291.76,,,0,294.44,,289.29,,2,295.83,289.58,,,0,290.32,,0,293.7,,0
17,MEGHALAYA,math,279,0.9,0,285,274,,,0,283,,0,289,,2,281.1,277.1,,,0,278.83,,279.69,,0,297.12,278.61,,,0,277.3,,0,275.38,,0
18,ASSAM,math,314,0.5,2,318,294,,,0,313,,0,287,,0,312.75,315.37,,,2,317.23,,301.5,,2,319.8,318.95,,,1,304.37,,0,312.98,,0
