state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,obc_indicator
19,WEST BENGAL,math,314,0.4,2,311,317,,,2,324,,2,301,,0,313.57,313.47,,,1,312.14,,316.77,,0,320.26,308.55,,,0,295.04,,0,309.29,,0
20,JHARKHAND,math,298,0.4,0,297,293,,,0,308,,2,287,,0,298.32,296.95,,,0,295.93,,301.93,,0,307.97,291.44,,,0,291.14,,0,299.76,,0
21,Odisha,math,313,0.5,2,317,289,,,0,317,,1,300,,0,313.34,313.14,,,1,314,,311.37,,2,320.04,314.87,,,0,302.3,,0,318.18,,0
22,Chhattisgarh,math,283,0.5,0,282,273,,,0,288,,2,275,,0,283.2,282.41,,,1,281.93,,284.4,,0,290.2,285.86,,,0,279.86,,0,281.39,,0
23,MADHYA PRADESH,math,315,0.3,2,331,295,,,0,310,,0,301,,0,314.35,315.03,,,1,320.98,,305.64,,2,312.17,319.07,,,2,310.41,,0,317.01,,2
24,Gujarat,math,310,0.3,2,313,308,,,0,308,,0,294,,0,309.22,310.65,,,2,311.5,,308.17,,2,312.27,314.97,,,2,312,,1,307.46,,0
25,Daman & Diu,math,294,4.2,0,316,271,,,0,281,,0,266,,0,296.3,291.01,,,0,299.44,,286.27,,2,305.96,268.64,,,0,299.09,,0,286.24,,0
26,Dadra & Nagar Haveli,math,272,3.1,0,270,242,,,0,279,,2,279,,2,266.55,278.2,,,2,274.63,,269.31,,2,286.18,264.94,,,0,250.95,,0,257.06,,0
27,Maharashtra,math,316,0.2,2,323,318,,,0,306,,0,296,,0,313.98,317.12,,,2,319.13,,312.6,,2,315.15,315.64,,,1,312.04,,0,317.22,,2
28,Andhra Pradesh,math,298,0.5,0,298,286,,,0,302,,2,293,,0,296.99,299.9,,,2,299.38,,297.18,,2,303.02,296.86,,,0,294.15,,0,297.04,,0
29,Karnataka,math,306,0.4,1,319,309,,,0,297,,0,288,,0,304.38,306.8,,,2,313.1,,297.84,,2,306.14,308.66,,,2,305.11,,0,307.68,,2
30,Goa,math,299,1.3,0,302,298,,,0,308,,2,279,,0,298.46,299.16,,,1,301.9,,294.73,,2,299,281.76,,,0,292.81,,0,298.49,,1
31,Lakshadweep,math,298,10.9,1,298, ,,,3, ,,3,295,,0,296.29,299.96,,,2,298.01,, ,,3,338.33, ,,,3,297.72,,0,268.08,,0
32,Kerala,math,313,0.4,2,320,315,,,0,308,,0,302,,0,311.49,314.14,,,2,311.8,,315.42,,0,316.17,316.77,,,1,284.1,,0,313.52,,0
33,Tamilnadu,math,304,0.4,0,301,312,,,2,298,,0,292,,0,302.17,304.92,,,2,302.01,,313.43,,0,294.75,304.87,,,2,306.29,,2,306.36,,2
34,Puducherry,math,310,1.4,2,322,299,,,0,316,,0,311,,0,310.05,310.02,,,1,318.84,,305.37,,2,295.22,310.33,,,2,281.25,,0,312.97,,2
35,Andaman & Nicobar Islands,math,290,3.3,0,304,264,,,0,298,,0,278,,0,292.23,288.4,,,0,311.52,,282.16,,2,285.56,305.55,,,2,315.27,,2,295.02,,2
36,Telangana,math,278,0.5,0,279,269,,,0,279,,1,276,,0,277.35,278.01,,,1,280.33,,276.24,,2,285.91,275.83,,,0,271.35,,0,278.96,,0
37,Ladakh,math,283,5.5,0,312,319,,,2,278,,0,267,,0,280.57,286.42,,,2,289.49,,279.54,,2,305.07,290.39,,,0,281.77,,0,269,,0
0,Z-National,math,306,0.1,3,305,294,,,3,303,,3,289,,3,299.97,300.81,,,3,301.62,,298.83,,3,305.34,298.54,,,3,295.49,,3,298.17,,3
1,Jammu & Kashmir,evs,310,0.7,2,302,297,,,0,316,,2,303,,1,308.04,312.73,,,2,307.52,,314.77,,0,312.48,305.16,,,0,301.46,,0,306.83,,0
2,Himachal Pradesh,evs,302,1,0,311, ,,,3,302,,0,274,,0,300.64,303.53,,,2,301.41,,303.68,,0,302.6,305.65,,,2,297.53,,0,302.79,,1
3,Punjab,evs,334,0.4,2,365,327,,,0,325,,0,314,,0,330.84,337.57,,,2,336.36,,332.35,,2,329.68,342.54,,,2,313.92,,0,335.44,,2
4,Chandigarh,evs,313,1.4,2,308,317,,,2,337,,2,290,,0,312.03,313.94,,,2,293.39,,314.37,,0,315.59,292.72,,,0,366,,2,282.77,,0
5,Uttarakhand,evs,296,0.7,0,300,296,,,0,300,,1,280,,0,296.48,296.55,,,1,298.82,,292.89,,2,301.17,290.79,,,0,292.11,,0,294.29,,0
6,Haryana,evs,300,0.4,0,307,270,,,0,297,,0,282,,0,297.15,302.71,,,2,300.51,,298.97,,2,299.86,302.21,,,2,291.86,,0,299.9,,1
7,Delhi,evs,288,0.4,0,278,283,,,2,302,,2,285,,2,286.36,290.35,,,2,275.48,,288.51,,0,292.01,275.73,,,0,277.17,,0,284.25,,0
8,Rajasthan,evs,322,0.3,2,328, ,,,3,320,,0,293,,0,321.64,322.96,,,2,325.3,,314.77,,2,319.14,325.56,,,2,314.23,,0,326.15,,2
9,Uttar Pradesh,evs,300,0.2,0,302,286,,,0,303,,2,285,,0,300.16,300.46,,,1,301.35,,296.41,,2,303.73,299.38,,,0,297.87,,0,300.38,,0
10,BIHAR,evs,301,0.3,0,297,291,,,0,314,,2,301,,2,300.87,300.23,,,0,298.84,,311.75,,0,301.32,298.1,,,0,300.05,,0,301.47,,1
11,SIKKIM,evs,309,3.3,1,297,326,,,2,303,,2,329,,2,307.14,311.63,,,2,308.03,,310.6,,0,311.56,296.31,,,0,311.82,,1,303.67,,0
12,ARUNACHAL PRADESH,evs,286,1.6,0,284,285,,,1,295,,2,281,,0,286.82,285.84,,,0,292.66,,279.81,,2,282.86,276.29,,,0,288.84,,2,283.25,,1
13,NAGALAND,evs,303,1.6,0,314, ,,,3,298,,0,285,,0,299.59,306.41,,,2,303.92,,302.2,,2,291.24,305.29,,,2,306.81,,2,301.45,,2
14,MANIPUR,evs,316,1.1,2,317,324,,,2,315,,0,316,,1,313.18,318.71,,,2,315.89,,315.61,,1,317.84,297.84,,,0,316.94,,1,316.17,,0
15,MIZORAM,evs,310,2,1,319, ,,,3,306,,0,291,,0,311.29,308.01,,,0,312.17,,307.77,,2,341.11,342.58,,,2,309.17,,0,305.35,,0
16,TRIPURA,evs,297,1.1,0,299,287,,,0,301,,2,283,,0,297.21,297,,,1,299.42,,293.52,,2,300.86,296.72,,,0,294.38,,0,299.05,,0
17,MEGHALAYA,evs,292,0.9,0,297,287,,,0,297,,1,292,,0,292.72,290.62,,,0,290.59,,295.43,,0,304.76,290.27,,,0,290.5,,0,286.13,,0
18,ASSAM,evs,313,0.4,2,315,300,,,0,314,,0,293,,0,310.45,315.12,,,2,314.84,,304.66,,2,315.52,319.33,,,2,307.96,,0,314.74,,1
19,WEST BENGAL,evs,314,0.3,2,311,325,,,2,324,,2,303,,0,312.96,315.95,,,2,312.39,,319.49,,0,319.65,310.62,,,0,302.94,,0,310.24,,0
20,JHARKHAND,evs,299,0.4,0,299,298,,,1,307,,2,286,,0,298.7,299.8,,,2,297.5,,303.7,,0,308.14,293.63,,,0,297.81,,0,299.05,,0
21,Odisha,evs,309,0.4,2,311,289,,,0,312,,2,299,,0,308.02,309.5,,,2,308.62,,309.06,,0,316.1,308.88,,,0,300.53,,0,311.54,,0
22,Chhattisgarh,evs,289,0.5,0,291,285,,,0,290,,1,278,,0,288.25,289.87,,,2,289.19,,288.84,,1,294.19,292.3,,,0,289.23,,0,287.2,,0
23,MADHYA PRADESH,evs,316,0.3,2,330,300,,,0,310,,0,305,,0,314.65,316.44,,,2,321.51,,306.93,,2,312.2,318.58,,,2,314.48,,2,316.88,,2
24,Gujarat,evs,313,0.3,2,316,312,,,0,309,,0,301,,0,311.07,314.1,,,2,314.56,,310.29,,2,314.06,315.78,,,2,316.15,,2,310.32,,0
25,Daman & Diu,evs,294,3.6,0,311,273,,,0,285,,0,257,,0,293.09,294.11,,,2,297.37,,288.34,,2,303.67,266.05,,,0,305.07,,2,285.29,,0
26,Dadra & Nagar Haveli,evs,277,2.5,0,276,247,,,0,282,,2,272,,0,273.63,279.92,,,2,278.05,,275.06,,2,287.29,258.61,,,0,262.76,,0,261.23,,0
27,Maharashtra,evs,316,0.2,2,322,318,,,0,308,,0,301,,0,313.76,318.25,,,2,318.42,,314,,2,316.28,315.56,,,1,312.72,,0,316.89,,1
28,Andhra Pradesh,evs,298,0.4,0,299,291,,,0,298,,0,296,,0,296.06,299.24,,,2,299.33,,295.61,,2,301.18,300.33,,,1,297.93,,0,295.29,,0
29,Karnataka,evs,307,0.3,1,318,310,,,0,299,,0,296,,0,305.69,308.2,,,2,312.55,,301.14,,2,309.14,309,,,1,309.22,,1,308.05,,0
30,Goa,evs,310,1.2,2,311,309,,,0,322,,2,289,,0,306.16,313.62,,,2,315.43,,302.73,,2,310.14,306.12,,,0,304.61,,0,304.25,,0
31,Lakshadweep,evs,303,8.4,1,305, ,,,3, ,,3,291,,0,300.3,306.32,,,2,303.12,, ,,3,327, ,,,3,302.91,,0,303.13,,0
32,Kerala,evs,318,0.3,2,324,321,,,0,312,,0,310,,0,314.9,319.92,,,2,316.7,,319.43,,0,321.64,325.53,,,2,297.13,,0,317.09,,0
33,Tamilnadu,evs,304,0.3,0,306,314,,,2,296,,0,291,,0,302.82,305.6,,,2,302.49,,315.31,,0,296.84,307.5,,,2,310.34,,2,306.22,,2
34,Puducherry,evs,315,1.4,2,319,301,,,0,322,,2,323,,2,318.81,311.38,,,0,320.76,,311.18,,2,298.61,311.75,,,2,280.47,,0,317.9,,2
35,Andaman & Nicobar Islands,evs,302,3,1,311,282,,,0,311,,1,291,,0,300.83,302.18,,,2,318.83,,295.04,,2,298.64,287.31,,,0,318.16,,2,306.57,,2
36,Telangana,evs,282,0.4,0,284,277,,,0,281,,0,282,,0,280.32,282.67,,,2,281.44,,281.54,,1,288.95,280.46,,,0,276.98,,0,281.98,,0
37,Ladakh,evs,294,4.9,0,318,333,,,2,288,,0,289,,0,293.51,294.73,,,2,300.52,,289.95,,2,318.39,289.44,,,0,291.69,,0,280,,0
0,Z-National,evs,307,0.1,3,308,299,,,3,306,,3,293,,3,302.87,305.3,,,3,305.01,,302.94,,3,307.72,301.66,,,3,301.88,,3,301.71,,3
