state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,st_indicator
35,Andaman & Nicobar Islands,sci,229,4.8,2,208,237,,,2,250,,2,258,,2,234.56,222.58,,,0,221.4,,234.89,,0,228.65,207.6,,,0,206.63,,0,236.12,,2
36,Telangana,sci,202,0.5,0,184,210,,,2,220,,2,217,,2,199.71,204.06,,,2,191.24,,209.69,,0,225.25,191.79,,,0,190.54,,0,199.83,,0
37,Ladakh,sci,218,6.3,1,198, ,,,3,226,,2,232,,2,214.69,220.11,,,2,217.64,,217.96,,0,200.75,227.2,,,2,217.08,,2,278.53,,2
0,Z-National,sci,206,0.1,3,195,201,,,3,229,,3,236,,3,209.94,210.87,,,3,203.88,,218.37,,3,222.63,204.07,,,3,200.28,,3,213.04,,3
1,Jammu & Kashmir,sst,237,1.1,2,206,205,,,1,262,,2,281,,2,236.89,237.65,,,1,223.96,,260.7,,0,243.19,224.19,,,0,211.46,,0,230.91,,0
2,Himachal Pradesh,sst,234,1.1,2,213, ,,,3,259,,2,270,,2,230.68,237.72,,,2,227.26,,256.51,,0,244.53,219.16,,,0,230.11,,0,223.38,,0
3,Punjab,sst,270,0.5,2,273,229,,,0,269,,0,275,,2,263.75,275.01,,,2,266.92,,272.85,,0,274.19,263.18,,,0,267.65,,0,269.12,,0
4,Chandigarh,sst,287,2.6,2,251,266,,,2,324,,2,285,,2,286.79,287.21,,,1,234.45,,290.65,,0,293.81,251.26,,,0, ,,3,272.72,,0
5,Uttarakhand,sst,231,0.7,1,215,212,,,0,246,,2,258,,2,230.94,230.76,,,1,227.77,,236,,0,246.88,215.12,,,0,222.17,,0,218.47,,0
6,Haryana,sst,254,0.6,2,240,224,,,0,260,,2,264,,2,249.05,258.46,,,2,247.54,,261.96,,0,265.57,237.33,,,0,243.35,,0,247.34,,0
7,Delhi,sst,259,0.6,2,229,235,,,2,297,,2,266,,2,257.58,261.28,,,2,240.29,,259.56,,0,266,234.63,,,0,250.12,,0,252.15,,0
8,Rajasthan,sst,261,0.4,2,263, ,,,3,258,,0,279,,2,259.35,263.68,,,2,263.53,,257.08,,2,273.01,257.75,,,0,242.37,,0,263.34,,0
9,Uttar Pradesh,sst,214,0.2,0,209,209,,,1,215,,2,262,,2,216.82,210.84,,,0,210.95,,222.32,,0,224.63,207.6,,,0,204.76,,0,211.85,,0
10,BIHAR,sst,222,0.3,0,212,213,,,2,241,,2,286,,2,229.11,216.41,,,0,217.62,,239.84,,0,240.07,209.13,,,0,213.19,,0,219.04,,0
11,SIKKIM,sst,237,2.9,1,229,262,,,2,248,,2,276,,2,233.06,241.33,,,2,235.56,,242.62,,0,252.87,224.31,,,0,236.67,,0,235.63,,0
12,ARUNACHAL PRADESH,sst,240,2.7,2,218,278,,,2,259,,2,271,,2,238.77,241.41,,,2,238.23,,241.91,,0,235.71,236.24,,,1,242.02,,2,239.44,,2
13,NAGALAND,sst,241,2.1,2,213, ,,,3,247,,2,232,,2,237.72,244.55,,,2,232.86,,246.66,,0,255.2,237.46,,,0,239.96,,0,250.25,,0
14,MANIPUR,sst,246,1.7,2,212,216,,,2,247,,2,286,,2,245.48,245.92,,,1,243.72,,250.07,,0,257.14,267.58,,,2,238.76,,0,240.11,,0
15,MIZORAM,sst,217,2.3,0,208,222,,,2,222,,2,215,,2,217.95,216.2,,,0,203.76,,222.42,,0,237.73,162,,,0,217.47,,0,254.73,,2
16,TRIPURA,sst,225,1.4,0,216,235,,,2,260,,2,263,,2,225.2,224.51,,,1,218.64,,242.61,,0,236.5,224.57,,,0,211.37,,0,232.21,,0
17,MEGHALAYA,sst,216,1.6,0,205,210,,,2,223,,2,247,,2,216.44,215.75,,,1,211.49,,229.99,,0,237.73,221.96,,,0,213.06,,0,246.61,,2
18,ASSAM,sst,226,0.5,0,217,207,,,0,249,,2,276,,2,227.73,224.23,,,0,221.84,,244.68,,0,227.03,220.91,,,0,222.83,,0,227.33,,1
19,WEST BENGAL,sst,232,0.4,2,222,249,,,2,288,,2,282,,2,236.44,228.34,,,0,224.85,,248.52,,0,244.06,223.58,,,0,210.22,,0,224.3,,0
20,JHARKHAND,sst,231,0.4,1,223,223,,,1,241,,2,260,,2,234.1,227.9,,,0,226.49,,241.83,,0,249.77,222.67,,,0,219.46,,0,230.95,,0
21,Odisha,sst,227,0.4,0,219,215,,,0,272,,2,243,,2,228.54,226.43,,,0,220.78,,248.43,,0,249.96,216.51,,,0,211.58,,0,227.64,,0
22,Chhattisgarh,sst,216,0.4,0,208,210,,,2,235,,2,261,,2,216.92,216.17,,,1,211.62,,226.93,,0,243.8,209.96,,,0,210.52,,0,215.93,,0
23,MADHYA PRADESH,sst,229,0.3,0,230,209,,,0,233,,2,221,,0,228.09,230.57,,,2,224.99,,234.23,,0,250.78,225.12,,,0,208.55,,0,228.56,,0
24,Gujarat,sst,232,0.3,2,217,225,,,2,247,,2,252,,2,229.11,235.75,,,2,227.38,,238.19,,0,246.44,232.04,,,0,219.6,,0,226.56,,0
25,Daman & Diu,sst,231,6.9,1,211,227,,,2,244,,2,252,,2,231.95,230.59,,,0,239.34,,218.74,,2,253.41,224.31,,,0,216.63,,0,219.86,,0
26,Dadra & Nagar Haveli,sst,216,2.9,0,205,226,,,2,270,,2,234,,2,217.22,215.26,,,0,210.46,,230.68,,0,235.92,235.95,,,1,203.82,,0,259.84,,2
27,Maharashtra,sst,233,0.3,2,209,225,,,2,256,,2,260,,2,231.76,234.13,,,2,226.48,,239.6,,0,240.78,224.06,,,0,220.18,,0,231.28,,0
28,Andhra Pradesh,sst,228,0.5,0,213,211,,,0,248,,2,232,,2,227.44,228.29,,,1,221.08,,238.22,,0,241.44,216.98,,,0,211.15,,0,225.85,,0
29,Karnataka,sst,235,0.4,2,231,226,,,0,240,,2,267,,2,231.45,237.34,,,2,234.7,,234.59,,1,251.66,228.07,,,0,227.73,,0,233.47,,0
30,Goa,sst,256,2.5,2,216,250,,,2,319,,2,283,,2,249.33,261.93,,,2,244.19,,265.82,,0,263.64,239.02,,,0,229.92,,0,246.6,,0
31,Lakshadweep,sst,230,11.2,1,228, ,,,3, ,,3,251,,3,226.27,233.93,,,2,230.43,, ,,3,290, ,,,3,229.56,,0,243.76,,0
32,Kerala,sst,239,0.4,2,224,227,,,2,277,,2,292,,2,231.61,244.62,,,2,234.01,,248.88,,0,258.13,230.31,,,0,209.57,,0,233.34,,0
33,Tamilnadu,sst,222,0.3,0,211,218,,,2,238,,2,235,,2,216.69,226.73,,,2,221.78,,225.57,,0,225.87,214.55,,,0,205.26,,0,224.33,,0
34,Puducherry,sst,255,2.2,2,210,229,,,2,263,,2,304,,2,257.91,252.6,,,0,236.78,,266.45,,0,276.93,235.3,,,0,286.68,,2,251.11,,0
35,Andaman & Nicobar Islands,sst,245,4.8,2,225,260,,,2,273,,2,267,,2,231.26,256.67,,,2,234.98,,252.54,,0,248.58,234.89,,,0,219.61,,0,242.4,,0
36,Telangana,sst,226,0.5,0,210,230,,,2,243,,2,242,,2,224.3,227.91,,,2,216.91,,232.81,,0,248.92,220.08,,,0,213.07,,0,222.78,,0
37,Ladakh,sst,237,7,1,207, ,,,3,257,,2,252,,2,237.2,236.84,,,1,229.06,,250.58,,0,207.37,226.68,,,2,238.2,,2,255,,2
0,Z-National,sst,231,0.1,3,220,228,,,3,256,,3,262,,3,234.89,237.43,,,3,229.26,,245.03,,3,249.71,227.07,,,3,224.96,,3,237.25,,3
